Trigonometry tables used to map 16 discrete angle values to vectors.
There are three tables for three magnitudes.

┌─────────┬────┬──────────┬──────────╥────────┬────────┐
│ address │ a  │    x     │    y     ║   x    │   y    │
├─────────┼────┼──────────┼──────────╫────────┼────────┤
│ 505C    │ 00 │ 00000000 │ ffff8000 ║      0 │ -32768 │
│ 5064    │ 01 │ 0000371a │ ffff7af8 ║  14106 │ -34056 │
│ 506C    │ 02 │ 00005a82 │ ffffa57e ║  23170 │ -23170 │
│ 5074    │ 03 │ 00008508 │ ffffc8e6 ║  34056 │ -14106 │
│ 507C    │ 04 │ 00008000 │ 00000000 ║  32768 │      0 │
│ 5084    │ 05 │ 00008508 │ 0000371a ║  34056 │  14106 │
│ 508C    │ 06 │ 00005a82 │ 00005a82 ║  23170 │  23170 │
│ 5094    │ 07 │ 0000371a │ 00008508 ║  14106 │  34056 │
│ 509C    │ 08 │ 00000000 │ 00008000 ║      0 │  32768 │
│ 50A4    │ 09 │ ffffc8e6 │ 00008508 ║ -14106 │  34056 │
│ 50AC    │ 0A │ ffffa57e │ 00005a82 ║ -23170 │  23170 │
│ 50B4    │ 0B │ ffff7af8 │ 0000371a ║ -34056 │  14106 │
│ 50BC    │ 0C │ ffff8000 │ 00000000 ║ -32768 │      0 │
│ 50C4    │ 0D │ ffff7af8 │ ffffc8e6 ║ -34056 │ -14106 │
│ 50CC    │ 0E │ ffffa57e │ ffffa57e ║ -23170 │ -23170 │
│ 50D4    │ 0F │ ffffc8e6 │ ffff7af8 ║ -14106 │ -34056 │
├─────────┼────┼──────────┼──────────╫────────┼────────┤
│ 50DC    │ 00 │ 00000000 │ ffff4000 ║      0 │ -49152 │
│ 50E4    │ 01 │ 000052a7 │ ffff3874 ║  21159 │ -51084 │
│ 50EC    │ 02 │ 000087c3 │ ffff783d ║  34755 │ -34755 │
│ 50F4    │ 03 │ 0000c78c │ ffffad59 ║  51084 │ -21159 │
│ 50FC    │ 04 │ 0000c000 │ 00000000 ║  49152 │      0 │
│ 5104    │ 05 │ 0000c78c │ 000052a7 ║  51084 │  21159 │
│ 510C    │ 06 │ 000087c3 │ 000087c3 ║  34755 │  34755 │
│ 5114    │ 07 │ 000052a7 │ 0000c78c ║  21159 │  51084 │
│ 511C    │ 08 │ 00000000 │ 0000c000 ║      0 │  49152 │
│ 5124    │ 09 │ ffffad59 │ 0000c78c ║ -21159 │  51084 │
│ 512C    │ 0A │ ffff783d │ 000087c3 ║ -34755 │  34755 │
│ 5134    │ 0B │ ffff3874 │ 000052a7 ║ -51084 │  21159 │
│ 513C    │ 0C │ ffff4000 │ 00000000 ║ -49152 │      0 │
│ 5144    │ 0D │ ffff3874 │ ffffad59 ║ -51084 │ -21159 │
│ 514C    │ 0E │ ffff783d │ ffff783d ║ -34755 │ -34755 │
│ 5154    │ 0F │ ffffad59 │ ffff3874 ║ -21159 │ -51084 │
├─────────┼────┼──────────┼──────────╫────────┼────────┤
│ 515C    │ 00 │ 00000000 │ ffff0000 ║      0 │ -65536 │
│ 5164    │ 01 │ 00006e34 │ fffef5f0 ║  28212 │ -68112 │
│ 516C    │ 02 │ 0000b504 │ ffff4afc ║  46340 │ -46340 │
│ 5174    │ 03 │ 00010a10 │ ffff91cc ║  68112 │ -28212 │
│ 517C    │ 04 │ 00010000 │ 00000000 ║  65536 │      0 │
│ 5184    │ 05 │ 00010a10 │ 00006e34 ║  68112 │  28212 │
│ 518C    │ 06 │ 0000b504 │ 0000b504 ║  46340 │  46340 │
│ 5194    │ 07 │ 00006e34 │ 00010a10 ║  28212 │  68112 │
│ 519C    │ 08 │ 00000000 │ 00010000 ║      0 │  65536 │
│ 51A4    │ 09 │ ffff91cc │ 00010a10 ║ -28212 │  68112 │
│ 51AC    │ 0A │ ffff4afc │ 0000b504 ║ -46340 │  46340 │
│ 51B4    │ 0B │ fffef5f0 │ 00006e34 ║ -68112 │  28212 │
│ 51BC    │ 0C │ ffff0000 │ 00000000 ║ -65536 │      0 │
│ 51C4    │ 0D │ fffef5f0 │ ffff91cc ║ -68112 │ -28212 │
│ 51CC    │ 0E │ ffff4afc │ ffff4afc ║ -46340 │ -46340 │
│ 51D4    │ 0F │ ffff91cc │ fffef5f0 ║ -28212 │ -68112 │
└─────────┴────┴──────────┴──────────╨────────┴────────┘
