Trigonometry table for 32 discrete angles.

┌─────────┬────┬──────────┬──────────╥─────────┬─────────┐
│ address │ a  │    x     │    y     ║    x    │    y    │
├─────────┼────┼──────────┼──────────╫─────────┼─────────┤
│ 63F8    │ 00 │ 00000000 │ ffff8000 ║       0 │  -32768 │
│ 6400    │ 01 │ 000018fb │ ffff8476 ║    6395 │  -31626 │
│ 6408    │ 02 │ 000030fb │ ffff89bf ║   12539 │  -30273 │
│ 6410    │ 03 │ 0000471c │ ffff9593 ║   18204 │  -27245 │
│ 6418    │ 04 │ 00005a82 │ ffffa57e ║   23170 │  -23170 │
│ 6420    │ 05 │ 00006a6d │ ffffb8e4 ║   27245 │  -18204 │
│ 6428    │ 06 │ 00007641 │ ffffcf05 ║   30273 │  -12539 │
│ 6430    │ 07 │ 00007b8a │ ffffe705 ║   31626 │   -6395 │
│ 6438    │ 08 │ 00008000 │ 00000000 ║   32768 │       0 │
│ 6440    │ 09 │ 00007b8a │ 000018fb ║   31626 │    6395 │
│ 6448    │ 0A │ 00007641 │ 000030fb ║   30273 │   12539 │
│ 6450    │ 0B │ 00006a6d │ 0000471c ║   27245 │   18204 │
│ 6458    │ 0C │ 00005a82 │ 00005a82 ║   23170 │   23170 │
│ 6460    │ 0D │ 0000471c │ 00006a6d ║   18204 │   27245 │
│ 6468    │ 0E │ 000030fb │ 00007641 ║   12539 │   30273 │
│ 6470    │ 0F │ 000018fb │ 00007b8a ║    6395 │   31626 │
│ 6478    │ 10 │ 00000000 │ 00008000 ║       0 │   32768 │
│ 6480    │ 11 │ ffffe705 │ 00007b8a ║   -6395 │   31626 │
│ 6488    │ 12 │ ffffcf05 │ 00007641 ║  -12539 │   30273 │
│ 6490    │ 13 │ ffffb8e4 │ 00006a6d ║  -18204 │   27245 │
│ 6498    │ 14 │ ffffa57e │ 00005a82 ║  -23170 │   23170 │
│ 64A0    │ 15 │ ffff9593 │ 0000471c ║  -27245 │   18204 │
│ 64A8    │ 16 │ ffff89bf │ 000030fb ║  -30273 │   12539 │
│ 64B0    │ 17 │ ffff8476 │ 000018fb ║  -31626 │    6395 │
│ 64B8    │ 18 │ ffff8000 │ 00000000 ║  -32768 │       0 │
│ 64C0    │ 19 │ ffff8476 │ ffffe705 ║  -31626 │   -6395 │
│ 64C8    │ 1A │ ffff89bf │ ffffcf05 ║  -30273 │  -12539 │
│ 64D0    │ 1B │ ffff9593 │ ffffb8e4 ║  -27245 │  -18204 │
│ 64D8    │ 1C │ ffffa57e │ ffffa57e ║  -23170 │  -23170 │
│ 64E0    │ 1D │ ffffb8e4 │ ffff9593 ║  -18204 │  -27245 │
│ 64E8    │ 1E │ ffffcf05 │ ffff89bf ║  -12539 │  -30273 │
│ 64F0    │ 1F │ ffffe705 │ ffff8476 ║   -6395 │  -31626 │
├─────────┼────┼──────────┼──────────╫─────────┼─────────┤
│ 64F8    │ 00 │ 00000000 │ fffd8000 ║       0 │ -163840 │
│ 6500    │ 01 │ 00007ce7 │ fffd964e ║   31975 │ -158130 │
│ 6508    │ 02 │ 0000f4e7 │ fffdb0bb ║   62695 │ -151365 │
│ 6510    │ 03 │ 0001638c │ fffdebdf ║   91020 │ -136225 │
│ 6518    │ 04 │ 0001c48a │ fffe3b76 ║  115850 │ -115850 │
│ 6520    │ 05 │ 00021421 │ fffe9c74 ║  136225 │  -91020 │
│ 6528    │ 06 │ 00024f45 │ ffff0b19 ║  151365 │  -62695 │
│ 6530    │ 07 │ 000269b2 │ ffff8319 ║  158130 │  -31975 │
│ 6538    │ 08 │ 00028000 │ 00000000 ║  163840 │       0 │
│ 6540    │ 09 │ 000269b2 │ 00007ce7 ║  158130 │   31975 │
│ 6548    │ 0A │ 00024f45 │ 0000f4e7 ║  151365 │   62695 │
│ 6550    │ 0B │ 00021421 │ 0001638c ║  136225 │   91020 │
│ 6558    │ 0C │ 0001c48a │ 0001c48a ║  115850 │  115850 │
│ 6560    │ 0D │ 0001638c │ 00021421 ║   91020 │  136225 │
│ 6568    │ 0E │ 0000f4e7 │ 00024f45 ║   62695 │  151365 │
│ 6570    │ 0F │ 00007ce7 │ 000269b2 ║   31975 │  158130 │
│ 6578    │ 10 │ 00000000 │ 00028000 ║       0 │  163840 │
│ 6580    │ 11 │ ffff8319 │ 000269b2 ║  -31975 │  158130 │
│ 6588    │ 12 │ ffff0b19 │ 00024f45 ║  -62695 │  151365 │
│ 6590    │ 13 │ fffe9c74 │ 00021421 ║  -91020 │  136225 │
│ 6598    │ 14 │ fffe3b76 │ 0001c48a ║ -115850 │  115850 │
│ 65A0    │ 15 │ fffdebdf │ 0001638c ║ -136225 │   91020 │
│ 65A8    │ 16 │ fffdb0bb │ 0000f4e7 ║ -151365 │   62695 │
│ 65B0    │ 17 │ fffd964e │ 00007ce7 ║ -158130 │   31975 │
│ 65B8    │ 18 │ fffd8000 │ 00000000 ║ -163840 │       0 │
│ 65C0    │ 19 │ fffd964e │ ffff8319 ║ -158130 │  -31975 │
│ 65C8    │ 1A │ fffdb0bb │ ffff0b19 ║ -151365 │  -62695 │
│ 65D0    │ 1B │ fffdebdf │ fffe9c74 ║ -136225 │  -91020 │
│ 65D8    │ 1C │ fffe3b76 │ fffe3b76 ║ -115850 │ -115850 │
│ 65E0    │ 1D │ fffe9c74 │ fffdebdf ║  -91020 │ -136225 │
│ 65E8    │ 1E │ ffff0b19 │ fffdb0bb ║  -62695 │ -151365 │
│ 65F0    │ 1F │ ffff8319 │ fffd964e ║  -31975 │ -158130 │
└─────────┴────┴──────────┴──────────╨─────────┴─────────┘

